证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
127030.SZ,东方盛虹,盛虹转债,000301.SZ,30,15,130,30,2021/9/27,2027/3/21,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转换公司债券未转股余额不足人民币3,000万元。当期应计利息的计算公式为：IA=B×i×t÷365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在换股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
127031.SZ,新洋丰,洋丰转债,000902.SZ,30,15,130,17.48,2021/10/8,2027/3/24,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在转股价格调整前的交易日按调整前的转股价格和收盘价格计算，转股价格调整后的交易日按调整后的转股价格和收盘价格计算。本次发行的可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。"
127032.SZ,苏州银行,苏行转债,002966.SZ,30,15,130,6.95,2021/10/18,2027/4/11,2021/11/2,"在本次发行可转债的转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整日前的交易日按调整前的转股价格和收盘价格计算，在调整日及之后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
127033.SZ,中装建设,中装转2,002822.SZ,30,15,130,5.14,2021/10/22,2027/4/15,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B*i*t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128013.SZ,洪涛股份,洪涛转债,002325.SZ,30,15,130,7.38,2017/2/6,2022/7/28,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，发行人将以本次发行的可转债的票面面值的108%（含最后一期年度利息）的价格向投资者兑付全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128014.SZ,永东股份,永东转债,002753.SZ,30,15,130,21.3,2017/10/23,2023/4/16,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加应计利息的价格赎回全部或部分未转股的可转债：（1）在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B*i*t/365。IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128015.SZ,久其软件,久其转债,002279.SZ,30,15,130,10.98,2017/12/15,2023/6/7,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128017.SZ,金禾实业,金禾转债,002597.SZ,30,15,130,19.89,2018/8/7,2023/11/1,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次发行的可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128018.SZ,新时达,时达转债,002527.SZ,30,15,130,8.15,2018/5/10,2023/11/6,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后5个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转换公司债券未转股余额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128021.SZ,兄弟科技,兄弟转债,002562.SZ,30,20,130,6.54,2018/6/4,2023/11/28,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有二十个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128022.SZ,众信旅游,众信转债,002707.SZ,30,15,130,11.28,2018/6/7,2023/12/1,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。2）当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128023.SZ,亚太股份,亚太转债,002284.SZ,30,15,130,6.71,2018/6/8,2023/12/4,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮8%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128025.SZ,特一药业,特一转债,002728.SZ,30,15,130,17.35,2018/6/12,2023/12/6,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后五个交易日内，公司将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
128026.SZ,众兴菌业,众兴转债,002772.SZ,30,15,130,9.13,2018/6/19,2023/12/13,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后5个交易日内，公司将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转债。（2）有条件赎回条款①在本次发行的可转债转股期内，如果公司A股股票在任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%），公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在前述30个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。②在本次发行的可转债转股期内，当本次发行的可转债未转股的余额不足3,000万元（含）时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
128029.SZ,太阳纸业,太阳转债,002078.SZ,30,15,130,9.5,2018/6/28,2022/12/22,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后5个交易日内，公司将以本次可转债票面面值的106%（含最后一期利息）的价格赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行可转换公司债券的转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转换公司债券未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转换公司债券。"
128030.SZ,天康生物,天康转债,002100.SZ,30,15,130,6.31,2018/6/28,2023/12/22,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后5个交易日内，公司将按债券面值的108%（含最后一期利息）赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转债未转股余额不足3,000万元时。"
128033.SZ,雪迪龙,迪龙转债,002658.SZ,30,15,130,7.89,2018/7/3,2023/12/27,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转换公司债券。（2）有条件赎回条款转股期内，当下述两种情形中任意一种情形出现时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，公司股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②本次发行的可转换公司债券未转股余额不足人民币5,000万元（含）时。"
128034.SZ,江阴银行,江银转债,002807.SZ,30,15,130,5.67,2018/8/1,2024/1/26,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值的106%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行可转债的转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外,当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
128035.SZ,大族激光,大族转债,002008.SZ,30,15,130,44.09,2018/8/13,2024/2/6,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将按本次发行的可转债的票面面值105%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
128036.SZ,金新农,金农转债,002548.SZ,30,15,130,7.51,2018/9/17,2024/3/9,2021/11/2,"1、到期赎回条款在本次发行的可转换公司债券期满后5个交易日内，公司将赎回全部未转股的可转换公司债券，赎回价格为债券面值的106%（含最后一期利息）。2、有条件赎回条款在本次发行可转换公司债券的转股期内，如果本公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转换公司债券未转股的票面总金额不足人民币3,000万元时，本公司有权按面值加当期应计利息的价格赎回全部未转股的可转换公司债券。"
128037.SZ,中化岩土,岩土转债,002542.SZ,30,15,130,4.45,2018/9/21,2024/3/15,2021/11/2,"（1）到期赎回条款本次发行的可转债到期后五个交易日内，公司将按债券面值的108%（含最后一期利息）的价格赎回全部未转股的可转换公司债券。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
128039.SZ,三力士,三力转债,002224.SZ,30,15,130,5.68,2018/12/14,2024/6/7,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128040.SZ,浙农股份,华通转债,002758.SZ,30,15,130,7.38,2018/12/21,2024/6/13,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128041.SZ,盛路通信,盛路转债,002446.SZ,30,15,130,8.23,2019/1/23,2024/7/16,2021/11/2,"转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
128042.SZ,凯中精密,凯中转债,002823.SZ,30,15,130,10.2,2019/2/11,2024/7/30,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。"
128044.SZ,岭南股份,岭南转债,002717.SZ,30,15,130,8.06,2019/2/20,2024/8/14,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128046.SZ,利尔化学,利尔转债,002258.SZ,30,20,130,16.56,2019/4/23,2024/10/17,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值的108%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。"
128048.SZ,张家港行,张行转债,002839.SZ,30,15,130,6.4,2019/5/16,2024/11/12,2021/11/2,"在本次发行可转债的转股期内，如果张家港行A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），发行人有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外,当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，发行人有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
128049.SZ,华源控股,华源转债,002787.SZ,30,15,130,7.17,2019/6/3,2024/11/27,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128050.SZ,钧达股份,钧达转债,002865.SZ,30,15,130,17.98,2019/6/14,2024/12/10,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照以本次发行的可转债的面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票在连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
128053.SZ,尚荣医疗,尚荣转债,002551.SZ,30,15,130,4.93,2019/8/21,2025/2/14,2021/11/2,"在本次发行的可转债的转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元（含）时。当期应计利息的计算公式为：IA＝B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转债票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。本次发行的可转换公司债券的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。"
128056.SZ,今飞凯达,今飞转债,002863.SZ,30,15,130,5.92,2019/9/6,2025/2/28,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128057.SZ,博彦科技,博彦转债,002649.SZ,30,15,130,9.43,2019/9/11,2025/3/5,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128062.SZ,亚太药业,亚药转债,002370.SZ,30,15,130,8.89,2019/10/9,2025/4/2,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA＝B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
128063.SZ,德尔未来,未来转债,002631.SZ,30,15,130,7.6,2019/10/11,2025/4/3,2021/11/2,"（1）到期赎回条款本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值的120%（含最后一期利息）的价格向投资者赎回全部未转股的可转换公司债券。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365，其中：IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
128066.SZ,郑中设计,亚泰转债,002811.SZ,30,15,130,14.48,2019/10/23,2025/4/17,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128069.SZ,华森制药,华森转债,002907.SZ,30,15,130,16.2,2019/12/30,2025/6/24,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B*i*t/365。IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128070.SZ,智能自控,智能转债,002877.SZ,30,15,130,8.52,2020/1/8,2025/7/2,2021/11/2,"1、到期赎回条款在本次发行的可转债期满后五个交易日内，发行人将以本次发行的可转债的票面面值的112%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。2、有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。"
128071.SZ,合兴包装,合兴转债,002228.SZ,30,15,130,3.76,2020/2/24,2025/8/16,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B*i*t/365。其中：IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
